"createDt","stdDay","deathCnt","defCnt","incDec","isolClearCnt","localOccCnt","overFlowCnt","qurRate","gubun","gubunEn","seq","accumulatedFirstCnt","accumulatedSecondCnt","accumulatedThirdCnt","firstCnt","id","secondCnt","sido","thirdCnt","totalFirstCnt","totalSecondCnt","totalThirdCnt"
"2020-08-01","2020년 08월 01일 00시",301,14336,31,13228,8,23,"27.65","합계","Total",3705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-31","2020년 07월 31일 00시",301,14305,36,13179,14,22,"27.59","합계","Total",3686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-30","2020년 07월 30일 00시",300,14269,18,13128,7,11,"27.52","합계","Total",3667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-29","2020년 07월 29일 00시",300,14251,48,13066,14,34,"27.49","합계","Total",3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-28","2020년 07월 28일 00시",300,14203,28,13002,5,23,"27.39","합계","Total",3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-27","2020년 07월 27일 00시",299,14175,25,12899,9,16,"27.34","합계","Total",3610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-26","2020년 07월 26일 00시",298,14150,58,12884,12,46,"27.29","합계","Total",3591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-25","2020년 07월 25일 00시",298,14092,113,12860,27,86,"27.18","합계","Total",3572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-24","2020년 07월 24일 00시",298,13979,41,12811,28,13,"26.96","합계","Total",3553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-23","2020년 07월 23일 00시",297,13938,59,12752,39,20,"26.88","합계","Total",3534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-22","2020년 07월 22일 00시",297,13879,63,12692,29,34,"26.77","합계","Total",3515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-21","2020년 07월 21일 00시",296,13816,45,12638,20,25,"26.65","합계","Total",3496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-20","2020년 07월 20일 00시",296,13771,26,12567,4,22,"26.56","합계","Total",3477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-19","2020년 07월 19일 00시",295,13745,34,12549,21,13,"26.51","합계","Total",3458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-18","2020년 07월 18일 00시",294,13711,39,12513,11,28,"26.44","합계","Total",3439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-17","2020년 07월 17일 00시",293,13672,60,12455,21,39,"26.37","합계","Total",3420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-16","2020년 07월 16일 00시",291,13612,61,12393,14,47,"26.25","합계","Total",3401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-15","2020년 07월 15일 00시",289,13551,39,12344,11,28,"26.14","합계","Total",3382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-14","2020년 07월 14일 00시",289,13512,33,12275,14,19,"26.06","합계","Total",3363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-13","2020년 07월 13일 00시",289,13479,62,12198,19,43,"26.00","합계","Total",3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-12","2020년 07월 12일 00시",289,13417,44,12173,21,23,"25.88","합계","Total",3325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-11","2020년 07월 11일 00시",288,13373,35,12139,20,15,"25.79","합계","Total",3306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-10","2020년 07월 10일 00시",288,13338,45,12061,23,22,"25.73","합계","Total",3287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-09","2020년 07월 09일 00시",287,13293,50,12016,28,22,"25.64","합계","Total",3268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-08","2020년 07월 08일 00시",285,13243,62,11967,30,32,"25.54","합계","Total",3249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-07","2020년 07월 07일 00시",285,13181,44,11911,20,24,"25.42","합계","Total",3230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-06","2020년 07월 06일 00시",284,13137,48,11845,24,24,"25.34","합계","Total",3211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-05","2020년 07월 05일 00시",283,13089,61,11828,43,18,"25.25","합계","Total",3192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-04","2020년 07월 04일 00시",283,13028,63,11808,36,27,"25.13","합계","Total",3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-03","2020년 07월 03일 00시",282,12965,61,11755,49,12,"25.01","합계","Total",3154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-02","2020년 07월 02일 00시",282,12904,54,11681,44,10,"24.89","합계","Total",3135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-01","2020년 07월 01일 00시",282,12850,51,11611,36,15,"24.78","합계","Total",3116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-30","2020년 06월 30일 00시",282,12799,42,11533,22,20,"24.69","합계","Total",3097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-29","2020년 06월 29일 00시",282,12757,42,11425,30,12,"24.60","합계","Total",3078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-28","2020년 06월 28일 00시",282,12715,62,11360,40,22,"24.52","합계","Total",3059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-27","2020년 06월 27일 00시",282,12653,51,11314,31,20,"24.40","합계","Total",3040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-26","2020년 06월 26일 00시",282,12602,39,11171,26,13,"24.31","합계","Total",3021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-25","2020년 06월 25일 00시",282,12563,28,10973,23,5,"24.23","합계","Total",3002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-24","2020년 06월 24일 00시",281,12535,51,10929,30,21,"24.18","합계","Total",2983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-23","2020년 06월 23일 00시",281,12484,46,10907,16,30,"24.08","합계","Total",2964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-22","2020년 06월 22일 00시",280,12438,17,10880,11,6,"23.99","합계","Total",2945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-21","2020년 06월 21일 00시",280,12421,48,10867,40,8,"23.96","합계","Total",2926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-20","2020년 06월 20일 00시",280,12373,67,10860,36,31,"23.86","합계","Total",2907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-19","2020년 06월 19일 00시",280,12306,49,10835,32,17,"23.73","합계","Total",2888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-18","2020년 06월 18일 00시",280,12257,59,10800,51,8,"23.64","합계","Total",2869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-17","2020년 06월 17일 00시",279,12198,43,10774,31,12,"23.53","합계","Total",2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-16","2020년 06월 16일 00시",278,12155,34,10760,21,13,"23.44","합계","Total",2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-15","2020년 06월 15일 00시",277,12121,37,10730,24,13,"23.38","합계","Total",2812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-14","2020년 06월 14일 00시",277,12084,34,10718,31,3,"23.31","합계","Total",2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-13","2020년 06월 13일 00시",277,12050,48,10691,43,5,"23.24","합계","Total",2774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-12","2020년 06월 12일 00시",277,12002,56,10668,43,13,"23.15","합계","Total",2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-11","2020년 06월 11일 00시",276,11946,45,10653,40,5,"23.04","합계","Total",2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-10","2020년 06월 10일 00시",276,11901,50,10611,43,7,"22.95","합계","Total",2717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-09","2020년 06월 09일 00시",274,11851,38,10590,35,3,"22.86","합계","Total",2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-08","2020년 06월 08일 00시",273,11813,37,10563,32,5,"22.78","합계","Total",2679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-07","2020년 06월 07일 00시",273,11776,57,10552,53,4,"22.71","합계","Total",2660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-06","2020년 06월 06일 00시",273,11719,51,10531,43,8,"22.60","합계","Total",2641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-05","2020년 06월 05일 00시",273,11668,39,10505,34,5,"22.50","합계","Total",2622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-04","2020년 06월 04일 00시",273,11629,39,10498,33,6,"22.43","합계","Total",2603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-03","2020년 06월 03일 00시",273,11590,49,10466,46,3,"22.35","합계","Total",2584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-02","2020년 06월 02일 00시",272,11541,38,10445,36,2,"22.26","합계","Total",2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-01","2020년 06월 01일 00시",271,11503,35,10421,30,5,"22.19","합계","Total",2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-31","2020년 05월 31일 00시",270,11468,27,10404,15,12,"22.12","합계","Total",2527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-30","2020년 05월 30일 00시",269,11441,39,10397,27,12,"22.07","합계","Total",2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-29","2020년 05월 29일 00시",269,11402,58,10362,55,3,"21.99","합계","Total",2489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-28","2020년 05월 28일 00시",269,11344,79,10339,68,11,"21.88","합계","Total",2470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-27","2020년 05월 27일 00시",269,11265,40,10294,37,3,"21.73","합계","Total",2451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-26","2020년 05월 26일 00시",269,11225,19,10273,16,3,"21.65","합계","Total",2432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-25","2020년 05월 25일 00시",267,11206,16,10224,13,3,"21.61","합계","Total",2413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-24","2020년 05월 24일 00시",266,11190,25,10211,17,8,"21.58","합계","Total",2394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-23","2020년 05월 23일 00시",266,11165,23,10192,19,4,"21.53","합계","Total",2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-22","2020년 05월 22일 00시",264,11142,20,10159,11,9,"21.49","합계","Total",2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-21","2020년 05월 21일 00시",264,11122,12,10132,10,2,"21.45","합계","Total",2337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-20","2020년 05월 20일 00시",263,11110,32,10061,24,8,"21.43","합계","Total",2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-19","2020년 05월 19일 00시",263,11078,13,9930,9,4,"21.37","합계","Total",2299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-18","2020년 05월 18일 00시",263,11065,15,9883,5,10,"21.34","합계","Total",2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-17","2020년 05월 17일 00시",262,11050,13,9860,6,7,"21.31","합계","Total",2261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-16","2020년 05월 16일 00시",262,11037,19,9811,9,10,"21.29","합계","Total",2242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-15","2020년 05월 15일 00시",260,11018,27,9774,22,5,"21.25","합계","Total",2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-14","2020년 05월 14일 00시",260,10991,29,9709,26,3,"21.20","합계","Total",2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-13","2020년 05월 13일 00시",259,10962,26,9629,22,4,"21.14","합계","Total",2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-12","2020년 05월 12일 00시",258,10936,27,9567,22,5,"21.09","합계","Total",2166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-11","2020년 05월 11일 00시",256,10909,35,9527,29,6,"21.04","합계","Total",2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-10","2020년 05월 10일 00시",256,10874,34,9493,26,8,"20.97","합계","Total",2128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-09","2020년 05월 09일 00시",256,10840,18,9444,17,1,"20.91","합계","Total",2109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-08","2020년 05월 08일 00시",256,10822,12,9356,1,11,"20.87","합계","Total",2090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-07","2020년 05월 07일 00시",256,10810,4,9286,1,3,"20.85","합계","Total",2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-06","2020년 05월 06일 00시",255,10806,2,9195,0,2,"20.84","합계","Total",2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-05","2020년 05월 05일 00시",254,10804,3,9144,0,3,"20.84","합계","Total",2033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-04","2020년 05월 04일 00시",252,10801,8,9073,0,8,"20.83","합계","Total",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-03","2020년 05월 03일 00시",250,10793,13,9032,3,10,"20.82","합계","Total",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-02","2020년 05월 02일 00시",250,10780,6,8968,0,6,"20.79","합계","Total",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-01","2020년 05월 01일 00시",248,10774,9,8910,1,8,"20.78","합계","Total",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-30","2020년 04월 30일 00시",247,10765,4,8876,0,4,"20.76","합계","Total",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-29","2020년 04월 29일 00시",246,10761,9,8736,4,5,"20.76","합계","Total",1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-28","2020년 04월 28일 00시",244,10752,14,8673,2,12,"20.74","합계","Total",1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-27","2020년 04월 27일 00시",243,10738,10,8573,3,7,"20.71","합계","Total",1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-26","2020년 04월 26일 00시",242,10728,10,8525,1,9,"20.69","합계","Total",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-25","2020년 04월 25일 00시",240,10718,10,8436,5,5,"20.67","합계","Total",1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-24","2020년 04월 24일 00시",240,10708,6,8284,4,2,"20.65","합계","Total",1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-23","2020년 04월 23일 00시",240,10702,8,8192,4,4,"20.64","합계","Total",1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-22","2020년 04월 22일 00시",238,10694,11,8047,5,6,"20.63","합계","Total",1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-21","2020년 04월 21일 00시",237,10683,9,7976,4,5,"20.60","합계","Total",1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-20","2020년 04월 20일 00시",236,10674,13,7873,6,7,"20.59","합계","Total",1748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-19","2020년 04월 19일 00시",234,10661,8,7807,2,6,"20.56","합계","Total",1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-18","2020년 04월 18일 00시",232,10653,18,7706,9,9,"20.55","합계","Total",1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-17","2020년 04월 17일 00시",230,10635,22,7598,7,15,"20.51","합계","Total",1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-16","2020년 04월 16일 00시",229,10613,22,7516,11,11,"20.47","합계","Total",1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-15","2020년 04월 15일 00시",225,10591,27,7377,13,14,"20.43","합계","Total",1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-14","2020년 04월 14일 00시",222,10564,27,7291,11,16,"20.38","합계","Total",1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-13","2020년 04월 13일 00시",217,10537,25,7198,10,15,"20.32","합계","Total",1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-12","2020년 04월 12일 00시",214,10512,32,7122,9,23,"20.27","합계","Total",1596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-11","2020년 04월 11일 00시",211,10480,30,6994,16,14,"20.21","합계","Total",1577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-10","2020년 04월 10일 00시",208,10450,27,6871,17,10,"20.16","합계","Total",1558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-09","2020년 04월 09일 00시",204,10423,39,6715,13,26,"20.10","합계","Total",1539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-08","2020년 04월 08일 00시",200,10384,53,6530,23,30,"20.03","합계","Total",1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-07","2020년 04월 07일 00시",192,10331,47,6451,23,24,"19.93","합계","Total",1501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-06","2020년 04월 06일 00시",186,10284,47,6359,25,22,"19.84","합계","Total",1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-05","2020년 04월 05일 00시",183,10237,81,6227,31,50,"19.74","합계","Total",1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-04","2020년 04월 04일 00시",177,10156,94,6084,53,41,"19.59","합계","Total",1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-03","2020년 04월 03일 00시",174,10062,86,5789,37,49,"19.41","합계","Total",1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-02","2020년 04월 02일 00시",169,9976,89,5609,43,46,"19.24","합계","Total",1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-01","2020년 04월 01일 00시",165,9887,101,5361,56,45,"19.07","합계","Total",1387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-31","2020년 03월 31일 00시",162,9786,125,5206,88,37,"18.87","합계","Total",1368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-30","2020년 03월 30일 00시",158,9661,78,5043,35,43,"18.63","합계","Total",1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-29","2020년 03월 29일 00시",152,9583,105,4857,38,67,"18.48","합계","Total",1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-28","2020년 03월 28일 00시",144,9478,146,4641,90,56,"18.28","합계","Total",1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-27","2020년 03월 27일 00시",139,9332,91,4367,57,34,"18.00","합계","Total",1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-26","2020년 03월 26일 00시",131,9241,104,4001,56,48,"17.82","합계","Total",1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-25","2020년 03월 25일 00시",126,9137,100,3606,42,58,"17.62","합계","Total",1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-24","2020년 03월 24일 00시",120,9037,76,3396,46,30,"17.43","합계","Total",1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-23","2020년 03월 23일 00시",111,8961,64,3065,46,18,"17.28","합계","Total",1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-22","2020년 03월 22일 00시",104,8897,98,2817,77,21,"17.16","합계","Total",1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-21","2020년 03월 21일 00시",102,8799,147,2536,126,21,"16.97","합계","Total",1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-20","2020년 03월 20일 00시",94,8652,87,2173,73,14,"16.69","합계","Total",1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-19","2020년 03월 19일 00시",91,8565,152,1896,135,17,"16.52","합계","Total",1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-18","2020년 03월 18일 00시",84,8413,93,1498,80,13,"16.23","합계","Total",1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-17","2020년 03월 17일 00시",81,8320,84,1362,79,5,"16.05","합계","Total",1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-16","2020년 03월 16일 00시",75,8236,74,1106,70,4,"15.89","합계","Total",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-15","2020년 03월 15일 00시",75,8162,76,807,72,4,"15.74","합계","Total",1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-14","2020년 03월 14일 00시",72,8086,107,690,102,5,"15.60","합계","Total",1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-13","2020년 03월 13일 00시",67,7979,110,490,107,3,"15.39","합계","Total",1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-12","2020년 03월 12일 00시",66,7869,114,318,112,2,"15.18","합계","Total",1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-11","2020년 03월 11일 00시",60,7755,242,272,239,3,"14.96","합계","Total",988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-10","2020년 03월 10일 00시",54,7513,131,232,131,0,"14.49","합계","Total",969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-09","2020년 03월 09일 00시",51,7382,248,159,247,1,"14.24","합계","Total",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-08","2020년 03월 08일 00시",50,7134,367,126,366,1,"13.76","합계","Total",931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-07","2020년 03월 07일 00시",44,6767,483,115,483,0,"13.05","합계","Total",912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-06","2020년 03월 06일 00시",42,6284,518,106,518,0,"12.12","합계","Total",893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-05","2020년 03월 05일 00시",35,5766,438,86,437,1,"11.12","합계","Total",874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-04","2020년 03월 04일 00시",32,5328,516,40,516,0,"10.28","합계","Total",855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-03","2020년 03월 03일 00시",28,4812,600,34,599,1,"9.28","합계","Total",836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-02","2020년 03월 02일 00시",23,4212,686,30,684,2,"8.12","합계","Total",817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-01","2020년 03월 01일 00시",17,3526,595,28,593,2,"0.00","합계","Total",798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-29","2020년 02월 29일 00시",16,2931,909,26,909,0,"0.00","합계","Total",779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-28","2020년 02월 28일 00시",13,2022,427,25,427,0,"0.00","합계","Total",760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-27","2020년 02월 27일 00시",12,1595,449,23,447,2,"0.00","합계","Total",741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-26","2020년 02월 26일 00시",11,1146,253,21,252,1,"0.00","합계","Total",722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-25","2020년 02월 25일 00시",8,893,130,21,129,1,"0.00","합계","Total",703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-24","2020년 02월 24일 00시",7,763,207,17,206,1,"0.00","합계","Total",684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-23","2020년 02월 23일 00시",3,556,210,17,209,1,"0.00","합계","Total",665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-22","2020년 02월 22일 00시",3,346,190,17,190,0,"0.00","합계","Total",646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-21","2020년 02월 21일 00시",1,156,74,16,74,0,"0.00","합계","Total",627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-20","2020년 02월 20일 00시",1,82,16,16,16,0,"0.00","합계","Total",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-19","2020년 02월 19일 00시",0,66,34,12,34,0,"0.00","합계","Total",589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-18","2020년 02월 18일 00시",0,32,2,10,2,0,"0.00","합계","Total",570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-17","2020년 02월 17일 00시",0,30,0,9,0,0,"0.00","합계","Total",551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-16","2020년 02월 16일 00시",0,30,2,9,2,0,"0.00","합계","Total",532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-15","2020년 02월 15일 00시",0,28,0,7,0,0,"0.00","합계","Total",513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
